candidate id,candidate name,father,group,other,test id,test,sub_verbalability,sub_currentaffairs,sub_generalscience,sub_numericalability,sub_socialscience,total,test rank,group rank,percentage
1801970,,,,,118,PBU Final Exam,40,15,5,10,10,80,81,0,25
1801971,,,,,118,PBU Final Exam,35,15,35,30,10,125,39,0,39.062
1801972,,,,,118,PBU Final Exam,26,16,35,10,15,102,60,0,31.875
1801973,,,,,118,PBU Final Exam,33,25,13,21,10,102,60,0,31.875
1801975,,,,,118,PBU Final Exam,35,25,20,0,10,90,71,0,28.125
1801976,,,,,118,PBU Final Exam,27,27,11,12,2,79,82,0,24.688
1801977,,,,,118,PBU Final Exam,27,11,15,-5,5,53,107,0,16.562
1801978,,,,,118,PBU Final Exam,25,15,36,-5,20,91,70,0,28.438
1801979,,,,,118,PBU Final Exam,37,20,7,13,13,90,71,0,28.125
1801980,,,,,118,PBU Final Exam,16,19,44,21,15,115,48,0,35.938
1801982,,,,,118,PBU Final Exam,30,15,15,25,15,100,62,0,31.25
1801983,,,,,118,PBU Final Exam,30,10,20,10,5,75,85,0,23.438
1801984,,,,,118,PBU Final Exam,30,-10,0,5,-5,20,137,0,6.25
1801987,,,,,118,PBU Final Exam,35,7,32,12,-4,82,79,0,25.625
1801990,,,,,118,PBU Final Exam,0,10,10,-4,9,25,133,0,7.812
1801992,,,,,118,PBU Final Exam,32,28,6,10,6,82,79,0,25.625
1801993,,,,,118,PBU Final Exam,20,10,-5,20,15,60,100,0,18.75
1801995,,,,,118,PBU Final Exam,30,10,30,20,5,95,66,0,29.688
1801996,,,,,118,PBU Final Exam,0,25,5,0,10,40,118,0,12.5
1801997,,,,,118,PBU Final Exam,30,5,10,5,0,50,110,0,15.625
1801998,,,,,118,PBU Final Exam,5,5,25,5,5,45,113,0,14.062
1801999,,,,,118,PBU Final Exam,10,30,45,5,10,100,62,0,31.25
1802952,,,,,118,PBU Final Exam,15,10,-10,-10,5,10,146,0,3.125
1802000,,,,,118,PBU Final Exam,35,5,10,25,15,90,71,0,28.125
1802001,,,,,118,PBU Final Exam,5,10,0,-5,-5,5,150,0,1.562
1802003,,,,,118,PBU Final Exam,20,10,35,-5,15,75,85,0,23.438
1802007,,,,,118,PBU Final Exam,25,5,25,-5,25,75,85,0,23.438
1802008,,,,,118,PBU Final Exam,30,10,5,-5,10,50,110,0,15.625
1802009,,,,,118,PBU Final Exam,35,35,35,5,0,110,53,0,34.375
1802010,,,,,118,PBU Final Exam,35,20,15,-5,5,70,90,0,21.875
1802011,,,,,118,PBU Final Exam,25,10,5,0,5,45,113,0,14.062
1802012,,,,,118,PBU Final Exam,40,0,15,10,20,85,76,0,26.562
1802013,,,,,118,PBU Final Exam,40,31,17,25,0,113,50,0,35.312
1802014,,,,,118,PBU Final Exam,35,60,45,25,6,171,9,0,53.438
1802015,,,,,118,PBU Final Exam,40,30,30,25,10,135,30,0,42.188
1802019,,,,,118,PBU Final Exam,25,15,15,10,5,70,90,0,21.875
1802021,,,,,118,PBU Final Exam,30,15,30,0,15,90,71,0,28.125
1802022,,,,,118,PBU Final Exam,25,30,20,15,15,105,57,0,32.812
1802023,,,,,118,PBU Final Exam,-10,5,0,-10,0,-15,156,0,0
1802024,,,,,118,PBU Final Exam,35,20,30,25,10,120,44,0,37.5
1802025,,,,,118,PBU Final Exam,10,10,25,0,0,45,113,0,14.062
1802027,,,,,118,PBU Final Exam,20,-5,25,5,25,70,90,0,21.875
1802028,,,,,118,PBU Final Exam,20,-5,0,0,-5,10,146,0,3.125
1802029,,,,,118,PBU Final Exam,20,5,20,-5,25,65,95,0,20.312
1802030,,,,,118,PBU Final Exam,20,0,20,-5,25,60,100,0,18.75
1802031,,,,,118,PBU Final Exam,30,25,20,15,15,105,57,0,32.812
1802032,,,,,118,PBU Final Exam,20,-5,22,1,-5,33,125,0,10.312
1802033,,,,,118,PBU Final Exam,25,0,20,15,5,65,95,0,20.312
1802034,,,,,118,PBU Final Exam,25,20,30,20,10,105,57,0,32.812
1802035,,,,,118,PBU Final Exam,29,24,20,14,2,89,72,0,27.812
1802036,,,,,118,PBU Final Exam,40,0,20,5,-5,60,100,0,18.75
1802037,,,,,118,PBU Final Exam,0,5,0,0,-10,-5,154,0,0
1802038,,,,,118,PBU Final Exam,35,30,20,15,15,115,48,0,35.938
1802039,,,,,118,PBU Final Exam,20,25,30,45,20,140,27,0,43.75
1802040,,,,,118,PBU Final Exam,10,5,-5,11,0,21,136,0,6.562
1802041,,,,,118,PBU Final Exam,10,15,20,5,0,50,110,0,15.625
1802042,,,,,118,PBU Final Exam,20,25,6,5,5,61,99,0,19.062
1802043,,,,,118,PBU Final Exam,20,7,18,-5,15,55,105,0,17.188
1802044,,,,,118,PBU Final Exam,20,5,10,25,10,70,90,0,21.875
1802045,,,,,118,PBU Final Exam,5,15,0,15,10,45,113,0,14.062
